cluster_id	KSLabel
0	mua
1	mua
2	good
3	mua
4	mua
5	good
6	mua
7	good
8	good
9	good
10	good
11	mua
12	mua
13	good
14	mua
15	mua
16	good
17	good
18	good
19	mua
20	mua
21	mua
22	good
23	good
24	mua
25	mua
26	good
27	mua
28	mua
29	mua
30	good
31	good
32	mua
33	mua
34	good
35	mua
36	good
37	good
38	mua
39	good
40	good
41	good
42	mua
43	mua
44	mua
45	mua
46	mua
47	mua
48	good
49	mua
50	good
51	good
52	mua
53	good
54	good
55	mua
56	mua
57	mua
58	mua
59	mua
60	mua
61	mua
62	mua
63	mua
64	good
65	mua
66	good
67	mua
68	good
69	mua
70	mua
71	mua
72	mua
73	mua
74	good
75	mua
76	mua
77	good
78	mua
79	good
80	mua
81	mua
82	good
83	good
84	mua
85	good
86	mua
87	good
88	mua
89	good
90	mua
91	mua
92	mua
93	mua
94	good
95	mua
96	good
97	good
98	good
99	good
100	good
101	mua
102	mua
103	good
104	mua
105	mua
106	good
107	mua
108	mua
109	mua
110	good
111	good
112	good
113	mua
114	good
115	mua
116	mua
117	good
118	good
119	mua
120	good
121	good
122	good
123	good
124	good
125	good
126	good
127	good
128	mua
129	mua
130	mua
131	good
132	good
133	mua
134	mua
135	mua
136	mua
137	good
138	good
139	good
140	mua
141	good
142	good
143	mua
144	mua
145	good
146	mua
147	good
148	mua
149	good
150	good
151	mua
152	good
153	good
154	good
155	good
156	good
